CD_MUN,Municipio,Evento,Status,Mortos,Feridos,Enfermos,Desaparecidos,Desalojados,Desabrigados,OutrosAfetados,Registro,TotalAfetados,TotalNaoAfetados,PopulacaoEstimada2024,TotalAfetadosNormalized,TotalNaoAfetadosNormalized,PercentualAffected
4308607,Garibaldi,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,17,31500,02/05/2024,31517,4005,35522,31517,4005,88.725297
4308656,Garruchos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,88,0,2600,07/05/2024,2688,41,2729,2688,41,98.49761818
4308706,Gaurama,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,5665,09/05/2024,5665,115,5780,5665,115,98.01038062
4308805,General Câmara,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1,0,0,0,300,400,0,03/05/2024,701,7050,7751,701,7050,9.043994323
4308854,Gentil,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,1,0,1743,04/05/2024,1744,39,1783,1744,39,97.81267527
4308904,Getúlio Vargas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,16156,15/05/2024,16156,794,16950,16156,794,95.31563422
4309001,Giruá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1890,09/05/2024,1890,14392,16282,1890,14392,11.60791058
4309050,Glorinha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2000,13/05/2024,2000,5842,7842,2000,5842,25.50369804
4309100,Gramado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7,2,0,0,900,272,103,05/05/2024,1284,40337,41621,1284,40337,3.084981139
4309126,Gramado dos Loureiros,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,160,10,2099,06/05/2024,2269,-220,2049,2269,0,100
4309159,Gramado Xavier,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,164,12,0,3128,03/05/2024,3304,52,3356,3304,52,98.45053635
4309209,Gravataí,Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,0,0,0,1200,314,8000,18/05/2024,9514,265780,275294,9514,265780,3.455941648
4309258,Guabiju,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1598,06/05/2024,1598,0,1598,1598,0,100
4309308,Guaíba,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,6870,0,0,40000,13000,0,06/05/2024,59870,35360,95230,59870,35360,62.86884385
4309407,Guaporé,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,76,7,25885,02/05/2024,25968,-3158,22810,25968,0,100
4309506,Guarani das Missões,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,7415,27/05/2024,7415,700,8115,7415,700,91.37399877
4309555,Harmonia,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,179,28,16,07/05/2024,223,4031,4254,223,4031,5.242125059
4309571,Herveiras,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,40,0,2486,07/05/2024,2526,428,2954,2526,428,85.51117129
4309605,Horizontina,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,31,0,19358,06/05/2024,19389,-1039,18350,19389,0,100
4309654,Hulha Negra,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,6048,15/05/2024,6048,0,6048,6048,0,100
4309704,Humaitá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4681,07/05/2024,4681,238,4919,4681,238,95.16161822
4309753,Ibarama,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,10,0,0,150,27,3549,05/05/2024,3736,635,4371,3736,635,85.47243194
4309803,Ibiaçá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2500,05/05/2024,2500,2210,4710,2500,2210,53.07855626
4309902,Ibiraiaras,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,0,0,0,0,0,0,7175,08/05/2024,7175,0,7175,7175,0,100
4309951,Ibirapuitã,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1670,04/05/2024,1670,2391,4061,1670,2391,41.12287614
4310009,Ibirubá,Alagamentos,Registro,0,0,0,0,100,0,0,02/05/2024,100,19212,19312,100,19212,0.517812759
4310108,Igrejinha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,25000,500,6163,06/05/2024,31663,0,31663,31663,0,100
4310207,Ijuí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,84041,06/05/2024,84041,-5121,78920,84041,0,100
4310306,Ilópolis,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,32,0,0,03/05/2024,32,4066,4098,32,4066,0.780868716
4310330,Imbé,,,,,,,,,,,,,,,,
4310363,Imigrante,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,5,5,20,500,40,2455,30/04/2024,3025,0,3025,3025,0,100
4310405,Independência,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1800,06/05/2024,1800,4818,6618,1800,4818,27.19854941
4310413,Inhacorá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2267,06/05/2024,2267,0,2267,2267,0,100
4310439,Ipê,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,78,0,5939,03/05/2024,6017,0,6017,6017,0,100
4310462,Ipiranga do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1720,28/06/2024,1720,224,1944,1720,224,88.47736626
4310504,Iraí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,92,0,7986,03/05/2024,8078,0,8078,8078,0,100
4310538,Itaara,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1,18,0,0,50,50,441,03/05/2024,560,4451,5011,560,4451,11.17541409
4310553,Itacurubi,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2995,17/05/2024,2995,446,3441,2995,446,87.03865155
4310579,Itapuca,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,3,0,1515,06/05/2024,1518,819,2337,1518,819,64.9550706
4310603,Itaqui, Inundações,Reconhecido,0,0,0,0,1379,90,0,10/05/2024,1469,36697,38166,1469,36697,3.848975528
4310652,Itati,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,600,80,1602,02/05/2024,2282,307,2589,2282,307,88.14213982
4310702,Itatiba do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4171,03/05/2024,4171,0,4171,4171,0,100
4310751,Ivorá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,1,6,0,23,11,177,03/05/2024,218,1938,2156,218,1938,10.11131725
4310801,Ivoti,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,361,55,300,10/05/2024,716,19161,19877,716,19161,3.602153242
4310850,Jaboticaba,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4111,03/05/2024,4111,0,4111,4111,0,100
4310876,Jacuizinho,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,40,5,2000,06/05/2024,2045,462,2507,2045,462,81.57159952
4310900,Jacutinga,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3630,20/05/2024,3630,0,3630,3630,0,100
4311007,Jaguarão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,27942,06/05/2024,27942,0,27942,27942,0,100
4311106,Jaguari,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,36,0,11442,19/04/2024,11478,0,11478,11478,0,100
4311122,Jaquirana,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4177,26/06/2024,4177,0,4177,4177,0,100
4311130,Jari,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3349,03/05/2024,3349,226,3575,3349,226,93.67832168
4311155,Jóia,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,8329,06/05/2024,8329,0,8329,8329,0,100
4311205,Júlio de Castilhos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,10,7,19579,30/04/2024,19596,-17,19579,19596,0,100
4311239,Lagoa Bonita do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,1,0,0,15,0,2235,01/05/2024,2251,411,2662,2251,411,84.56048084
4311254,Lagoão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,6185,02/05/2024,6185,0,6185,6185,0,100
4311270,Lagoa dos Três Cantos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1738,04/05/2024,1738,-140,1598,1738,0,100
4311304,Lagoa Vermelha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,5,7,27517,04/05/2024,27529,0,27529,27529,0,100
4311403,Lajeado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,10,60,0,50,5000,1326,65000,04/05/2024,71446,35,71481,71446,35,99.95103594
4311429,Lajeado do Bugre,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2487,03/05/2024,2487,0,2487,2487,0,100
4311502,Lavras do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,10,0,300,02/05/2024,310,7359,7669,310,7359,4.042248011
4311601,Liberato Salzano,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,20,0,0,404,0,5356,03/05/2024,5780,0,5780,5780,0,100
4311627,Lindolfo Collor,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,1,0,0,250,150,0,07/05/2024,401,4828,5229,401,4828,7.668770319
4311643,Linha Nova,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,30,5,0,08/05/2024,35,1589,1624,35,1589,2.155172414
4311700,Machadinho,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2127,09/05/2024,2127,3388,5515,2127,3388,38.56754306
4311718,Maçambará,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3430,08/05/2024,3430,1312,4742,3430,1312,72.33234922
4311734,Mampituba,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,30,0,3101,16/05/2024,3131,-134,2997,3131,0,100
4311759,Manoel Viana,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,432,8,0,03/05/2024,440,6634,7074,440,6634,6.219960418
4311775,Maquiné,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,300,52,2900,06/05/2024,3252,3656,6908,3252,3656,47.07585408
4311791,Maratá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,19,0,1909,03/05/2024,1928,599,2527,1928,599,76.29600317
4311809,Marau,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,24,30,9300,03/05/2024,9354,27029,36383,9354,27029,25.70980953
4311908,Marcelino Ramos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,12,0,0,05/05/2024,12,5122,5134,12,5122,0.233735878
4311981,Mariana Pimentel,Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,0,0,0,14,0,4306,23/05/2024,4320,814,5134,4320,814,84.14491624
4312005,Mariano Moro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1858,03/05/2024,1858,352,2210,1858,352,84.07239819
4312054,Marques de Souza,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,20,0,1,150,400,3497,30/04/2024,4068,0,4068,4068,0,100
4312104,Mata,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,700,100,4311,03/05/2024,5111,0,5111,5111,0,100
4312138,Mato Castelhano,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,59,0,1500,06/05/2024,1559,911,2470,1559,911,63.11740891
4312153,Mato Leitão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,48,0,0,06/05/2024,48,3821,3869,48,3821,1.240630654
4312179,Mato Queimado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,3,0,1796,17/05/2024,1799,0,1799,1799,0,100
4312203,Maximiliano de Almeida,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4191,20/04/2024,4191,716,4907,4191,716,85.40859996
4312252,Minas do Leão,Alagamentos,Reconhecido,0,0,0,0,68,12,140,06/05/2024,220,7411,7631,220,7411,2.882977329
4312302,Miraguaí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4855,05/05/2024,4855,0,4855,4855,0,100
4312351,Montauri,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,0,04/05/2024,0,1542,1542,0,1542,0
4312377,Monte Alegre dos Campos,Tempestade Local/Convectiva - Vendaval,Reconhecido,0,0,0,0,0,2,276,29/04/2024,278,2820,3098,278,2820,8.973531311
4312385,Monte Belo do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,19,0,0,50,147,0,06/05/2024,216,2454,2670,216,2454,8.08988764
4312401,Montenegro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,7845,768,2650,01/05/2024,11263,48173,59436,11263,48173,18.94979474
4312427,Mormaço,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,7,0,2749,06/05/2024,2756,-7,2749,2756,0,100
4312443,Morrinhos do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3185,06/05/2024,3185,0,3185,3185,0,100
4312450,Morro Redondo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1940,23/05/2024,1940,4291,6231,1940,4291,31.13464933
4312476,Morro Reuter,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,40,0,1500,06/05/2024,1540,4140,5680,1540,4140,27.11267606
4312500,Mostardas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,0,03/05/2024,0,12130,12130,0,12130,0
4312609,Muçum,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,3520,306,965,02/05/2024,4791,0,4791,4791,0,100
4312617,Muitos Capões,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,10,0,2869,08/05/2024,2879,98,2977,2879,98,96.7080954
4312625,Muliterno,,,,,,,,,,,,,,,,
4312658,Não-Me-Toque,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,1,0,0,3,3,3600,06/05/2024,3607,12331,15938,3607,12331,22.63144686
4312674,Nicolau Vergueiro,Tempestade Local/Convectiva - Vendaval,Registro,0,0,0,0,0,0,0,01/04/2024,0,1721,1721,0,1721,0
4312708,Nonoai,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,52,0,12024,04/05/2024,12076,0,12076,12076,0,100
4312757,Nova Alvorada,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,103,22,0,04/05/2024,125,3052,3177,125,3052,3.93452943
4312807,Nova Araçá,,,,,,,,,,,,,,,,
4312906,Nova Bassano,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,650,0,8999,02/05/2024,9649,-809,8840,9649,0,100
4312955,Nova Boa Vista,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,1,0,2041,03/05/2024,2042,-82,1960,2042,0,100
4313003,Nova Bréscia,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,5,16,3013,05/05/2024,3034,150,3184,3034,150,95.28894472
4313011,Nova Candelária,,,,,,,,,,,,,,,,
4313037,Nova Esperança do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4671,02/05/2024,4671,0,4671,4671,0,100
4313060,Nova Hartz,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,32,0,200,09/05/2024,232,18114,18346,232,18114,1.264580835
4313086,Nova Pádua,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,72,0,0,08/05/2024,72,2318,2390,72,2318,3.012552301
4313102,Nova Palma,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,550,50,5745,03/05/2024,6345,0,6345,6345,0,100
4313201,Nova Petrópolis,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,3,0,1200,35,21000,05/05/2024,22238,-3180,19058,22238,0,100
4313300,Nova Prata,Enxurradas,Reconhecido,0,0,0,0,180,3,8412,02/05/2024,8595,14235,22830,8595,14235,37.6478318
4313334,Nova Ramada,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,16,0,2421,03/05/2024,2437,0,2437,2437,0,100
4313359,Nova Roma do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3466,02/05/2024,3466,-119,3347,3466,0,100
4313375,Nova Santa Rita,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,50,0,8000,1500,0,14/05/2024,9550,13156,22706,9550,13156,42.05936757
4313391,Novo Cabrais,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,50,10,0,03/05/2024,60,3795,3855,60,3795,1.556420233
4313409,Novo Hamburgo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,10000,3981,7000,02/05/2024,20981,218070,239051,20981,218070,8.776788217
4313425,Novo Machado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3198,07/05/2024,3198,729,3927,3198,729,81.43621085
4313441,Novo Tiradentes,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,7,0,2139,03/05/2024,2146,131,2277,2146,131,94.24681599
4313466,Novo Xingu,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,50,0,1596,03/05/2024,1646,111,1757,1646,111,93.6824132
4313490,Novo Barreiro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,48,0,4224,07/05/2024,4272,-294,3978,4272,0,100
4313508,Osório,Alagamentos,Não reconhecido,0,0,0,0,10,0,0,22/05/2024,10,40931,40941,10,40931,0.024425393
4313607,Paim Filho,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3629,04/05/2024,3629,614,4243,3629,614,85.52910676
4313656,Palmares do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,150,0,0,06/05/2024,150,10821,10971,150,10821,1.367240908
4313706,Palmeira das Missões,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,34335,04/05/2024,34335,0,34335,34335,0,100
4313805,Palmitinho,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,54,10,7775,03/05/2024,7839,-919,6920,7839,0,100
4313904,Panambi,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,36064,0,0,0,4,0,0,03/05/2024,36068,2000,38068,36068,2000,94.74624356
4313953,Pantano Grande,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1,0,0,0,2550,80,2770,02/05/2024,5401,4494,9895,5401,4494,54.58312279
4314001,Paraí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,6812,05/05/2024,6812,0,6812,6812,0,100
4314027,Paraíso do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,6519,03/05/2024,6519,817,7336,6519,817,88.86314068
4314035,Pareci Novo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,626,503,0,05/05/2024,1129,2382,3511,1129,2382,32.15608089
4314050,Parobé,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,500,0,6000,598,0,08/05/2024,7098,44383,51481,7098,44383,13.78761096
4314068,Passa Sete,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,1000,0,3982,04/05/2024,4982,177,5159,4982,177,96.56910254
4314076,Passo do Sobrado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,50,34,2800,03/05/2024,2884,3127,6011,2884,3127,47.97870571
4314100,Passo Fundo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,468,0,0,05/06/2024,468,184401,184869,468,184401,0.253152232
4314134,Paulo Bento,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,6,0,2190,06/05/2024,2196,0,2196,2196,0,100
4314159,Paverama,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2,0,0,0,95,0,5000,30/04/2024,5097,2950,8047,5097,2950,63.3403753
4314175,Pedras Altas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2061,07/05/2024,2061,157,2218,2061,157,92.92155095
4314209,Pedro Osório, Inundações,Reconhecido,0,0,0,0,0,0,0,08/05/2024,0,7817,7817,0,7817,0
4314308,Pejuçara,Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,0,0,0,0,0,3745,07/05/2024,3745,228,3973,3745,228,94.26126353
4314407,Pelotas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,720,740,104000,18/05/2024,105460,222318,327778,105460,222318,32.17421548
4314423,Picada Café,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,16,13,5322,06/05/2024,5351,-169,5182,5351,0,100
4314456,Pinhal,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,150,2809,05/05/2024,2959,-444,2515,2959,0,100
4314464,Pinhal da Serra,,,,,,,,,,,,,,,,
4314472,Pinhal Grande,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1,0,0,1,43,26,4400,01/05/2024,4471,0,4471,4471,0,100
4314498,Pinheirinho do Vale,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,20,0,4503,07/05/2024,4523,-20,4503,4523,0,100
4314506,Pinheiro Machado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,11214,03/05/2024,11214,1573,12787,11214,1573,87.69844373
4314548,Pinto Bandeira,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,100,15,200,14/05/2024,315,2469,2784,315,2469,11.31465517
4314555,Pirapó,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1200,11/05/2024,1200,1557,2757,1200,1557,43.52557127
4314605,Piratini,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,19831,06/05/2024,19831,0,19831,19831,0,100
4314704,Planalto,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,10524,04/05/2024,10524,0,10524,10524,0,100
4314753,Poço das Antas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,1,61,0,1955,07/05/2024,2017,0,2017,2017,0,100
4314779,Pontão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,5,0,0,07/05/2024,5,3852,3857,5,3852,0.129634431
4314787,Ponte Preta,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,167,0,1408,03/05/2024,1575,175,1750,1575,175,90
4314803,Portão, Inundações,Reconhecido,0,0,0,0,70,22,100,02/05/2024,192,30689,30881,192,30689,0.621741524
4314902,Porto Alegre,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,50,50,0,10000,83,0,06/05/2024,10183,1399756,1409939,10183,1399756,0.722229827
4315008,Porto Lucena,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,33,2,4325,06/05/2024,4360,1061,5421,4360,1061,80.42796532
4315057,Porto Mauá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2142,06/05/2024,2142,402,2544,2142,402,84.19811321
4315073,Porto Vera Cruz,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1560,06/05/2024,1560,292,1852,1560,292,84.23326134
4315107,Porto Xavier,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,760,50,9748,06/05/2024,10558,2,10560,10558,2,99.98106061
4315131,Pouso Novo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,2,0,0,90,0,1647,08/05/2024,1739,136,1875,1739,136,92.74666667
4315149,Presidente Lucena,Enxurradas,Reconhecido,0,0,0,0,0,0,3077,02/05/2024,3077,-592,2485,3077,0,100
4315156,Progresso,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,5340,03/05/2024,5340,821,6161,5340,821,86.67424119
4315172,Protásio Alves,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,13,0,61,03/05/2024,74,1926,2000,74,1926,3.7
4315206,Putinga,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1,0,0,0,0,0,0,03/05/2024,1,4146,4147,1,4146,0.024113817
4315305,Quaraí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,57,7000,02/05/2024,7057,15964,23021,7057,15964,30.6546197
4315313,Quatro Irmãos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1552,21/05/2024,1552,226,1778,1552,226,87.28908886
4315321,Quevedos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2710,22/04/2024,2710,0,2710,2710,0,100
4315354,Quinze de Novembro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2500,02/05/2024,2500,1153,3653,2500,1153,68.43690118
4315404,Redentora,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,65,42,10115,03/05/2024,10222,0,10222,10222,0,100
4315453,Relvado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4,0,0,2,800,400,0,04/05/2024,1206,949,2155,1206,949,55.96287703
4315503,Restinga Sêca,Enxurradas,Registro,0,0,0,0,146,151,0,03/05/2024,297,15553,15850,297,15553,1.873817035
4315552,Rio dos Índios,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,5,0,3611,07/05/2024,3616,0,3616,3616,0,100
4315602,Rio Grande,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,0,09/05/2024,0,197253,197253,0,197253,0
4315701,Rio Pardo, Inundações,Reconhecido,0,0,0,0,3088,414,0,02/05/2024,3502,34100,37602,3502,34100,9.313334397
4315750,Riozinho,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,13,0,4460,06/05/2024,4473,-146,4327,4473,0,100
4315800,Roca Sales,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3,14,0,14,3000,350,0,05/05/2024,3381,6906,10287,3381,6906,32.86672499
